NewBudget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Director,Revenue
13000000.0,7.2,65.0,"Drama, Horror, Mystery",Drama, Horror, Mystery,Jee-woon Kim,0.0
5000000.0,6.3,51.0,"Adventure, Biography, Comedy",Adventure, Biography, Comedy,Ken Kwapis,29470000.0
10000000.0,7.4,35.0,"Drama, Romance",Drama, Romance,,Adam Shankman,41230000.0
6000000.0,8.2,,"Drama, Romance",Drama, Romance,,John Cassavetes,0.0
3000000.0,6.2,,"Action, Crime, Drama",Action, Crime, Drama,Sheldon Lettich,24080000.0
1000000.0,7.2,,"Comedy, Drama",Comedy, Drama,,Pedro Almod??var,0.0
447524.0,6.5,77.0,Drama,Drama,,,Catherine Breillat,720000.0
1950000.0,2.0,,"Comedy, Romance, Sport",Comedy, Romance, Sport,G??bor Forg??cs,0.0
1000000.0,7.6,,"Comedy, Crime, Drama",Comedy, Crime, Drama,Vipul Amrutlal Shah,0.0
5000000.0,6.6,,"Crime, Drama, Sport",Crime, Drama, Sport,Jeff Pollack,16040000.0
6000000.0,7.7,73.0,Drama,Drama,,,Walter Salles,60000.0
4400000.0,6.7,52.0,"Action, Crime, Drama",Action, Crime, Drama,Clint Eastwood,50010000.0
10000000.0,6.0,31.0,"Comedy, Sci-Fi",Comedy, Sci-Fi,,Terry Jones,0.0
2000000.0,6.1,49.0,"Comedy, Romance",Comedy, Romance,,Griffin Dunne,34660000.0
27000000.0,6.2,61.0,"Comedy, Drama",Comedy, Drama,,Scott Coffey,20000.0
5000000.0,5.6,,"Action, Adventure, Drama",Action, Adventure, Drama,Adrian Vitoria,0.0
3500000.0,5.1,,"Action, Adventure, Thriller",Action, Adventure, Thriller,Sriram Raghavan,630000.0
700000.0,7.2,55.0,"Adventure, Biography, Drama",Adventure, Biography, Drama,Alejandro Amen??bar,620000.0
500000.0,8.0,,"Adventure, Biography, Drama",Adventure, Biography, Drama,Werner Herzog,0.0
2000000.0,8.0,,Comedy,Comedy,,,Ozan A??iktan,0.0
1000000.0,6.1,46.0,"Comedy, Crime, Music",Comedy, Crime, Music,Michael Lehmann,5370000.0
20000000.0,6.8,,"Drama, Romance, Thriller",Drama, Romance, Thriller,Abbas Alibhai Burmawalla,90000.0
600000.0,6.6,,"Crime, Mystery, Thriller",Crime, Mystery, Thriller,Abbas Alibhai Burmawalla,0.0
7500000.0,6.9,66.0,"Action, Comedy, Crime",Action, Comedy, Crime,Declan Lowney,150000.0
1500000.0,7.8,,"Comedy, Drama",Comedy, Drama,,Michael Cacoyannis,0.0
1500000.0,7.2,,"Biography, Comedy, Musical",Biography, Comedy, Musical,Trey Parker,0.0
650000.0,6.7,,"Comedy, Fantasy, Romance",Comedy, Fantasy, Romance,Carl Reiner,36400000.0
2500000.0,6.8,72.0,"Biography, Crime, Drama",Biography, Crime, Drama,Ridley Scott,25110000.0
9500000.0,2.3,,"Action, Horror, Sci-Fi",Action, Horror, Sci-Fi,Uwe Boll,5180000.0
3000000.0,6.4,69.0,Drama,Drama,,,Yorgos Lanthimos,10000.0
3400000.0,6.9,53.0,"Biography, Crime, Drama",Biography, Crime, Drama,Nick Cassavetes,15230000.0
3000000.0,4.9,,"Mystery, Thriller",Mystery, Thriller,,Kaare Andrews,0.0
1000000.0,7.0,68.0,"Crime, Drama",Crime, Drama,,Bart Layton,2860000.0
1300000.0,7.3,90.0,"Crime, Drama",Crime, Drama,,David O. Russell,150120000.0
3000000.0,5.6,,"Comedy, Crime",Comedy, Crime,,E. Max Frye,9750000.0
1900000.0,7.6,,Comedy,Comedy,,,Ian MacNaughton,0.0
13500000.0,6.1,44.0,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,William Dear,50240000.0
10.0,6.3,43.0,"Animation, Action, Adventure",Animation, Action, Adventure,Clay Kaytis,107510000.0
1000000.0,8.0,,"Comedy, Drama",Comedy, Drama,,Rajat Kapoor,0.0
2000000.0,5.8,23.0,"Action, Comedy, Crime",Action, Comedy, Crime,Walter Hill,80820000.0
165000000.0,6.1,51.0,"Action, Comedy",Action, Comedy,,Buddy Van Horn,70690000.0
170000000.0,6.4,43.0,"Comedy, Romance",Comedy, Romance,,Woody Allen,3200000.0
170000000.0,6.2,59.0,"Comedy, Drama",Comedy, Drama,,Wayne Wang,18650000.0
20000000.0,7.4,73.0,Drama,Drama,,,Nuri Bilge Ceylan,40000.0
125000000.0,8.2,,Drama,Drama,,,Satyajit Ray,170000.0
250000000.0,8.5,94.0,"Drama, War",Drama, War,,Francis Ford Coppola,83470000.0
165000000.0,7.8,68.0,"Action, Adventure, Drama",Action, Adventure, Drama,Mel Gibson,50870000.0
14000000.0,7.6,77.0,"Adventure, Drama, History",Adventure, Drama, History,Ron Howard,173840000.0
34000000.0,5.2,24.0,"Horror, Mystery, Sci-Fi",Horror, Mystery, Sci-Fi,Gonzalo L??pez-Gallego,17690000.0
18000000.0,6.4,62.0,"Drama, Fantasy, Horror",Drama, Fantasy, Horror,Gareth Evans,0.0
61000000.0,6.7,64.0,"Crime, Drama, Romance",Crime, Drama, Romance,Ed Harris,20210000.0
68000000.0,6.6,,"Animation, Action, Sci-Fi",Animation, Action, Sci-Fi,Shinji Aramaki,0.0
127000000.0,4.8,53.0,"Drama, Sci-Fi, Thriller",Drama, Sci-Fi, Thriller,Mark Elijah Rosenberg,0.0
85000000.0,7.0,40.0,"Animation, Action, Drama",Animation, Action, Drama,Shinji Aramaki,130000.0
250000000.0,7.1,,"Animation, Action, Drama",Animation, Action, Drama,Shinji Aramaki,0.0
40000000.0,6.2,,"Horror, Mystery",Horror, Mystery,,Fred Walton,12950000.0
125000000.0,6.7,51.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,Bryan Singer,8840000.0
40000000.0,8.3,,Drama,Drama,,,Satyajit Ray,20000.0
8500000.0,6.9,54.0,"Animation, Action, Adventure",Animation, Action, Adventure,Matt Maiellaro,5520000.0
210000000.0,5.3,51.0,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,Elizabeth Allen Rosenbaum,18600000.0
30000000.0,7.6,88.0,Drama,Drama,,,Kleber Mendon??a Filho,290000.0
3300000.0,6.4,67.0,"Comedy, Fantasy, Horror",Comedy, Fantasy, Horror,Frank Marshall,53210000.0
170000000.0,6.6,62.0,"Drama, War",Drama, War,,Atom Egoyan,1550000.0
55000000.0,6.6,73.0,"Drama, Thriller",Drama, Thriller,,Nicholas Jarecki,7920000.0
42000000.0,4.1,36.0,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,Steve Carr,49630000.0
200000000.0,4.6,27.0,"Adventure, Comedy, Family",Adventure, Comedy, Family,Brian Levant,82670000.0
178000000.0,5.3,37.0,"Comedy, Drama",Comedy, Drama,,Matthew Weiner,0.0
44000000.0,4.2,30.0,"Horror, Sci-Fi, Thriller",Horror, Sci-Fi, Thriller,Oren Peli,0.0
58800000.0,7.7,86.0,"Biography, Drama, Thriller",Biography, Drama, Thriller,Ben Affleck,136030000.0
140000000.0,7.6,,"Comedy, Sci-Fi",Comedy, Sci-Fi,,Kivan?? Baru??n?ª,0.0
160000000.0,7.4,,"Comedy, Drama, Fantasy",Comedy, Drama, Fantasy,Emir Kusturica,110000.0
180000000.0,8.5,,"Action, Drama, Romance",Action, Drama, Romance,Sandeep Reddy Vanga,0.0
15000000.0,7.2,65.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,Mark Pellington,24360000.0
5000000.0,6.6,42.0,"Action, Adventure, Sci-Fi",Action, Adventure, Sci-Fi,Michael Bay,201570000.0
145000000.0,5.6,17.0,"Action, Comedy, Crime",Action, Comedy, Crime,Mark L. Lester,15950000.0
2000000.0,7.3,,"Action, Adventure, Comedy",Action, Adventure, Comedy,Jackie Chan,10440000.0
90000000.0,5.7,50.0,"Action, Crime, Thriller",Action, Crime, Thriller,Nimr??d Antal,15990000.0
60000000.0,7.6,57.0,"Comedy, Horror",Comedy, Horror,,Sam Raimi,11500000.0
13000000.0,8.2,99.0,"Drama, War",Drama, War,,Jean-Pierre Melville,740000.0
95000000.0,6.6,,"Action, Adventure, Drama",Action, Adventure, Drama,Peter Flinth,0.0
15000000.0,6.6,,"Action, Adventure, Drama",Action, Adventure, Drama,Peter Flinth,0.0
17000000.0,5.8,49.0,"Action, Adventure, Comedy",Action, Adventure, Comedy,Frank Coraci,24010000.0
70000000.0,6.8,,"Adventure, Comedy, Family",Adventure, Comedy, Family,Michael Anderson,42000000.0
132000000.0,6.4,,"Sci-Fi, Thriller",Sci-Fi, Thriller,,Tony Elliott,0.0
50000000.0,7.2,,"Action, Drama, Mystery",Action, Drama, Mystery,Vishnuvardhan,0.0
110000000.0,7.6,80.0,"Animation, Adventure, Family",Animation, Adventure, Family,Hiromasa Yonebayashi,19200000.0
25000000.0,7.9,81.0,"Drama, Mystery, Sci-Fi",Drama, Mystery, Sci-Fi,Denis Villeneuve,100550000.0
50000000.0,8.0,,"Comedy, Crime, Thriller",Comedy, Crime, Thriller,Frank Capra,0.0
28000000.0,6.3,54.0,"Comedy, Drama",Comedy, Drama,,Terry Zwigoff,3300000.0
55000000.0,5.7,36.0,"Comedy, Romance",Comedy, Romance,,Jason Winer,33040000.0
7000000.0,6.9,69.0,"Comedy, Romance",Comedy, Romance,,Steve Gordon,95460000.0
11000000.0,5.5,,"Animation, Adventure, Family",Animation, Adventure, Family,Luc Besson,0.0
9000000.0,5.7,42.0,Drama,Drama,,,Dante Ariola,0.0
16000000.0,5.3,,"Animation, Adventure, Family",Animation, Adventure, Family,Luc Besson,350000.0
4000000.0,7.1,69.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,Sarah Smith,46460000.0
20000000.0,6.0,39.0,"Animation, Adventure, Family",Animation, Adventure, Family,Luc Besson,15130000.0
100000000.0,8.9,,Drama,Drama,,,Arun Prabhu Purushothaman,0.0
125000000.0,6.2,38.0,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,John Erick Dowdle,21200000.0
50000000.0,7.7,67.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,James L. Brooks,148480000.0
12000000.0,6.4,46.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Tony McNamara,0.0
40000000.0,7.9,,"Drama, Romance, War",Drama, Romance, War,Andrzej Wajda,0.0
18000000.0,6.1,,Drama,Drama,,,Allison Burnett,0.0
